masses de l'épi à chaque cycle pour Wmoy et Wmax obtenus à l'aide de TestGen sur 10 algorithmes génétiques.
cycle:  Wmoy:  Wmax:  temoin: 
1  0  0  0
2  0  0  0
3  0  0  0
4  0  0  0
5  0  0  0
6  0  0  0
7  0  0  0
8  0  0  0
9  0  0  0
10  0  0  0
11  0  0  0
12  0  0  0
13  0  0  0
14  0  0  0
15  4.49621e-09  5.3959e-09  1.48058e-09
16  8.48085e-05  9.56675e-05  2.3908e-05
17  0.00858856  0.0107738  0.00196917
18  0.123437  0.0934371  0.034533
19  1.14041  1.07095  0.280854
20  6.14633  4.28165  1.39096
21  23.6563  25.7124  4.67066
22  40.3225  44.646  10.254
23  78.8799  84.5136  18.6892
24  138.759  132.878  29.7131
25  194.792  186.513  40.8967
26  218.751  212.511  51.2944
27  233.03  245.401  60.3771
28  243.194  251.758  67.8936
29  250.702  256.757  73.7884
30  256.248  260.478  78.1471
31  259.161  263.051  81.1548
32  261.285  265.243  83.0551
33  262.198  266.123  84.0916
